x	low1	mean1	high1	low2	mean2	high2
1.825000000000000178e+00	1.377729826434125444e-11	2.066520647465406072e-04	1.363335120588466971e-04	1.427953328420063330e-10	4.744201857480674005e-04	3.347678550497743401e-04
1.875000000000000000e+00	1.058919311481051721e-12	1.465393864241330629e-04	7.216495368381127973e-05	1.055232751111526321e-11	2.712433257772826510e-04	1.431626541290211951e-04
1.925000000000000266e+00	6.700287171065416818e-14	1.051296622032521695e-04	3.701847755972068120e-05	7.281330149655605210e-13	1.559064657435952283e-04	6.073620300264866986e-05
1.975000000000000089e+00	4.003798886772795577e-15	7.620891320617709979e-05	1.867180697429145450e-05	4.508641950815613187e-14	9.019280055384998362e-05	2.503355817486054187e-05
2.025000000000000355e+00	2.009350699390441434e-16	5.574061170082294766e-05	9.461513665965448026e-06	2.520391559332695889e-15	5.257080727311264214e-05	1.067464980338472466e-05
2.075000000000000178e+00	1.140037552424825017e-17	4.107538313782172352e-05	4.677629017292004046e-06	1.238581308517893962e-16	3.090605350758335204e-05	4.505981682440555362e-06
2.125000000000000000e+00	4.990553570937080668e-19	3.045257637287394729e-05	2.221400790411088098e-06	5.215415873592785148e-18	1.834757675599498923e-05	1.904730690633251676e-06
2.174999999999999822e+00	2.006193100240316554e-20	2.268546783415482227e-05	1.020209872985859967e-06	2.365024095679847254e-19	1.101440499517901148e-05	7.906070717273753817e-07
2.225000000000000089e+00	7.386161006551455069e-22	1.696193612324933434e-05	4.814236775232786143e-07	6.812186169867780242e-21	6.697818805058026823e-06	3.209372191663358675e-07
2.275000000000000355e+00	2.133859455699832097e-23	1.271760623003758534e-05	2.245289424418037956e-07	1.683350315203705229e-22	4.133916246097967185e-06	1.317892118695017279e-07
2.325000000000000178e+00	5.198377775978563773e-25	9.554449334289953752e-06	1.047250855397595798e-07	4.589612393509073034e-24	2.595220165832899710e-06	5.101937408663859483e-08
2.375000000000000000e+00	1.055880707101619845e-26	7.187948068218513026e-06	4.712451826275136591e-08	9.789907453767957255e-26	1.660545652652198886e-06	1.903109284957337743e-08
2.425000000000000266e+00	2.416922013653738319e-28	5.412307703672763894e-06	2.057734788623205478e-08	1.644081157744413976e-27	1.084627408151874767e-06	7.426007585371455357e-09
2.475000000000000089e+00	4.271527034253566888e-30	4.077172641813045616e-06	8.611541984677097096e-09	3.668677463152236714e-29	7.238095673398252097e-07	2.709422616086039448e-09
